surface_class	family	units	status	proof_or_attempt	c_source_scope	notes
activity-call-sites	src/act.comm.c act-send family	99	proven-already	comm.tsv; channels.tsv; gsay.tsv; qsay.tsv; qecho.tsv; rsay.tsv; page.tsv; gen-write.tsv; think.tsv	src/act.comm.c:all	All 99 act()/send_to_char() call sites are owned by the communication, channel, page, write, race-say, group, quest, or think depth families; C reachability exclusions remain owned by their specific manifests.
activity-call-sites	src/act.display.c act-send family	48	proven-already	lines.tsv; infobar.tsv	src/act.display.c:80-706	All 48 act()/send_to_char() call sites belong to do_lines, do_infobar, or their InfoBar helpers and are covered by the existing byte, audience, state, gate, and seed proofs.
activity-call-sites	src/act.informative.c act-send family	134	proven-already	abilities.tsv; clear.tsv; color.tsv; commands.tsv; consider.tsv; credits.tsv; diagnose.tsv; equipment.tsv; examine.tsv; exits.tsv; future.tsv; handbook.tsv; help.tsv; home.tsv; immlist.tsv; imotd.tsv; info.tsv; informative.tsv; inventory.tsv; levels.tsv; look.tsv; motd.tsv; news.tsv; players.tsv; policy.tsv; socials-command.tsv	src/act.informative.c:all	All 134 act()/send_to_char() call sites are owned by the existing informative command manifests plus this slice; do_skills has no act()/send_to_char() call site and is tracked as an explicit unregistered handler exclusion below.
off-command-handlers	src/act.informative.c do_skills unregistered	1	excluded-with-C-reason	-	src/act.informative.c:2689-2741; src/interpreter.c:237	C declares and defines do_skills but has no command-table registration; no registered player-command call path exists under R2/R4/R5e.
activity-call-sites	src/act.item.c act-send family	169	proven-already	put.tsv; get.tsv; drop.tsv; disposal.tsv; give.tsv; drink.tsv; eat.tsv; pour.tsv; fill.tsv; wear.tsv; wield.tsv; grab.tsv; hold.tsv; remove.tsv; comm.tsv; flesh-alter.tsv; spec-procs.tsv	src/act.item.c:all	All 169 literal act()/send_to_char() call sites are assigned to existing item, shared equipment, transfer, or special-procedure proof rows. Two-seed checks on put/get/drop/give/drink/eat/pour/fill/wear/wield/grab/hold/remove/donate are green; drink.vampire, eat.vampire, and eat.werewolf-corpse remain explicit blocked rows, while give.mob-ongive and get.palm-quiet-path retain their documented ownership decisions.
activity-call-sites	src/act.movement.c act-send family	110	proven-already	movement.tsv; door.tsv; enter.tsv; leave.tsv; position.tsv; follow.tsv; shadow.tsv; escape.tsv; flee.tsv; doh.tsv; embrace.tsv; spec-procs.tsv	src/act.movement.c:all	All 110 literal act()/send_to_char() call sites are assigned to the ordinary movement, door, entry/leave, position, follow/shadow, flee/escape, wake-recovery, or movement-entered special-procedure rows. Two-seed checks on movement-directions, door-basic, enter-depth, position-basic, follow-depth, and movement-mounted are green; descriptorless NPC movement remains the explicit movement.mob-entry-prog exclusion.
activity-call-sites	src/act.offensive.c act-send family	138	proven-already	combat-entry.tsv; backstab.tsv; disembowel.tsv; order.tsv; flee.tsv; bash.tsv; kick.tsv; dragon.tsv; shoot.tsv; escape.tsv; sleeper.tsv; ambush.tsv; neckbreak.tsv; spec-procs.tsv	src/act.offensive.c:all	All 138 literal act()/send_to_char() call sites are assigned to focused combat-entry, skill, flee/escape, sleeper, ambush, neckbreak, or native special-procedure rows. Two-seed checks on combat-entry-gates, combat-backstab-opener, combat-bash-opener, disembowel-depth, order-depth, flee-audience-success, rescue-roll, dragon-depth, shoot-entry-depth, ambush-depth, sleeper-outcome-depth, and neckbreak-depth are green; the combat enqueue fix keeps the DP_CLOCK interruption prefix on the first combat frame, matching C's shared output buffer. Explicit C-reason exclusions remain in shoot.tsv and flee.tsv.
activity-call-sites	src/act.other.c act-send family	162	proven-already	other.tsv; comm.tsv; quit.tsv; reallyquit.tsv; save.tsv; do-not-here.tsv; sneak.tsv; hide.tsv; spec-procs.tsv; group.tsv; report.tsv; split.tsv; use.tsv; display.tsv; prompt.tsv; gen-write.tsv; gen-tog.tsv; afk.tsv; auto.tsv; eat.tsv; mount.tsv; dismount.tsv; peek.tsv; recall.tsv; appraise.tsv; inactive.tsv; scout.tsv; roll.tsv	src/act.other.c:all	All 162 literal act()/send_to_char() call sites are assigned to focused command, shared, or special-procedure proof rows. The residual theft, practice, visible, title, ungroup, wimpy, transform, stealth, and yank handlers are now covered by other.tsv; reachable use.tattoo and vampire/werewolf item branches remain explicit blocked rows in their owning manifests.
activity-call-sites	src/act.social.c act-send family	27	proven-already	socials.tsv; socials-command.tsv	src/act.social.c:all	27 act()/send_to_char() call sites are owned by the exhausted socials inventory and its command-dispatch proofs.
activity-call-sites	src/act.wizard.c act-send family	352	unproven	wizard.tsv (14 entry probes); advance.tsv; at.tsv; checkload.tsv; comm.tsv; dark.tsv; date.tsv; dc.tsv; dns.tsv; force.tsv; gecho.tsv; goto.tsv; home.tsv; idlist.tsv; invis.tsv; last.tsv; levels.tsv; load.tsv; mlist.tsv; other.tsv; poofin.tsv; poofout.tsv; purge.tsv; restore.tsv; return.tsv; rlist.tsv; send.tsv; set.tsv; sethunt.tsv; show.tsv; shutdown.tsv; snoop.tsv; spec-procs.tsv; freeze.tsv; mute.tsv; notitle.tsv; pardon.tsv; reroll.tsv	src/act.wizard.c:all	352 act()/send_to_char() call sites; entry probes now own the previously residual registered command starts, while valid transfer/teleport/report/switch/pulse and shared OLC/admin branches remain explicitly unproven for later source-order slices.
